Atom #,name,res,x,y,z,element,,,
1,C4,GNRD,1.24,0.081,0.563,C,,,
2,O4,GNRD,0,0,0,O,,,
3,HO4,GNRD,0.088,-0.078,-0.964,H,,,
4,C3,GNRD,2.13,-1.285,0.241,C,,,
5,O3,GNRD,2.913,-1.567,1.318,O,,,
6,HO3,GNRD,2.361,-1.634,2.112,H,,,
7,C2,GNRD,2.909,-1.134,-1.214,C,,,
8,O2,GNRD,3.707,-2.184,-1.581,O,,,
9,HO2,GNRD,4.51,-2.186,-1.036,H,,,
10,C6,GNRD,1.46,2.873,0.528,C,,,
11,O6,GNRD,1.059,3.051,1.744,O,,,
12,O6,GNRD,1.52,3.856,-0.306,O,,,
13,C5,GNRD,2.038,1.405,0.108,C,,,
14,O5,GNRD,2.486,1.407,-1.297,O,,,
15,C1,GNRD,3.446,0.358,-1.655,C,,,
16,O1,GNRD,4.702,0.748,-1.358,O,,,
18,C4,GRED,5.942,0.667,-1.921,C,,,
19,O4,GRED,4.702,0.748,-1.358,O,,,
20,C3,GRED,6.832,2.033,-1.599,C,,,
21,O3,GRED,7.615,2.315,-2.676,O,,,
22,HO3,GRED,7.063,2.382,-3.470,H,,,
23,C2,GRED,7.611,1.882,-0.144,C,,,
24,O2,GRED,8.409,2.932,0.223,O,,,
25,HO2,GRED,9.212,2.934,-0.322,H,,,
26,C6,GRED,6.162,-2.125,-1.886,C,,,
27,O6,GRED,5.761,-2.303,-3.102,O,,,
28,O6,GRED,6.222,-3.108,-1.052,O,,,
29,C5,GRED,6.740,-0.657,-1.466,C,,,
30,O5,GRED,7.188,-0.659,-0.061,O,,,
31,C1,GRED,8.148,0.390,0.297,C,,,
32,O1,GRED,9.404,0.000,0.000,O,,,
33,HO1,GRED,9.515,-0.027,-0.963,H,,,
