Atom #,name,res,x,y,z,element
1,C4,MRED,1.02,-0.126,0.295,C
2,C3,MRED,1.533,-1.335,-0.358,C
3,O3,MRED,1.149,-2.096,0.345,O
4,HO3,MRED,1.553,-1.964,1.217,H
5,C2,MRED,3.151,-1.517,-0.113,C
6,O2,MRED,3.099,-1.563,0.995,O
7,HO2,MRED,2.707,-0.744,1.335,H
8,C6,MRED,0.797,2.42,0.271,C
9,O61,MRED,1.27,3.595,0.01,O
10,O62,MRED,-0.43,2.26,0.635,O
11,C5,MRED,1.742,1.12,-0.02,C
12,O5,MRED,3.285,1.145,0.444,O
13,C1,MRED,4.107,-0.094,-0.166,C
14,O1,MRED,4.876,-0.388,0.598,O
15,HO1,MRED,5.404,-1.15,0.312,H
